iter	Passed	Remaining
399	69882	104823
400	70010	104579
401	70139	104336
402	70288	104125
403	70430	103903
404	70642	103783
405	70813	103604
406	70984	103424
407	71161	103254
408	71304	103034
409	71487	102872
410	71654	102687
411	71845	102536
412	72048	102403
413	72268	102293
414	72480	102171
415	72690	102046
416	72866	101873
417	73012	101659
418	73205	101508
419	73411	101378
420	73567	101177
421	73716	100967
422	73809	100680
423	73969	100486
424	74108	100264
425	74291	100101
426	74479	99945
427	74679	99805
428	74869	99652
429	75012	99434
430	75218	99302
431	75446	99198
432	75620	99023
433	75777	98825
434	75961	98662
435	76086	98424
436	76253	98239
437	76357	97975
438	76524	97790
439	76735	97663
440	76933	97518
441	77133	97376
442	77270	97155
443	77449	96985
444	77613	96798
445	77809	96651
446	77964	96452
447	78150	96292
448	78361	96162
449	78428	95856
450	78578	95653
451	78747	95472
452	78876	95244
453	79025	95039
454	79250	94926
455	79447	94779
456	79609	94591
457	79794	94429
458	79911	94187
459	80065	93990
460	80185	93752
461	80353	93572
462	80549	93423
463	80728	93254
464	80898	93076
465	81025	92848
466	81191	92666
467	81387	92517
468	81515	92291
469	81676	92103
470	81882	91966
471	82077	91815
472	82261	91652
473	82411	91451
474	82612	91308
475	82751	91096
476	82937	90935
477	83112	90763
478	83249	90549
479	83392	90341
480	83527	90126
481	83635	89882
482	83833	89734
483	84017	89572
484	84203	89411
485	84350	89209
486	84533	89047
487	84694	88859
488	84879	88697
489	85043	88515
490	85224	88348
491	85402	88179
492	85575	88005
493	85734	87817
494	85879	87614
495	86056	87444
496	86176	87217
497	86296	86989
498	86431	86778
499	86538	86538
500	86651	86305
501	86834	86142
502	87013	85975
503	87184	85800
504	87317	85588
505	87446	85373
506	87632	85213
507	87787	85022
508	87936	84826
509	88072	84618
510	88211	84413
511	88355	84213
512	88570	84081
513	88766	83930
514	88955	83773
515	89137	83609
516	89275	83404
517	89437	83221
518	89652	83088
519	89840	82929
520	90060	82800
521	90248	82640
522	90410	82458
523	90642	82339
524	90844	82192
525	91030	82030
526	91206	81860
527	91403	81709
528	91546	81508
529	91760	81372
530	91969	81230
531	92099	81020
532	92189	80774
533	92335	80577
534	92506	80402
535	92678	80228
536	92839	80045
537	93022	79881
538	93223	79732
539	93381	79546
540	93545	79366
541	93719	79194
542	93906	79033
543	94025	78815
544	94216	78658
545	94370	78469
546	94568	78317
547	94705	78115
548	94879	77943
549	95067	77782
550	95248	77616
551	95415	77438
552	95579	77258
553	95763	77095
554	95938	76923
555	96142	76775
556	96356	76635
557	96534	76466
558	96696	76284
559	96868	76110
560	97077	75966
561	97254	75796
562	97411	75611
563	97606	75454
564	97793	75292
565	97984	75133
566	98087	74906
567	98295	74759
568	98472	74589
569	98641	74413
570	98857	74272
571	99026	74097
572	99198	73922
573	99370	73748
574	99561	73588
575	99755	73431
576	99856	73204
577	100024	73028
578	100234	72882
579	100379	72688
580	100559	72520
581	100741	72353
582	100926	72189
583	101140	72045
584	101310	71869
585	101466	71684
586	101683	71542
587	101858	71370
588	102009	71181
589	102168	70998
590	102341	70825
591	102517	70653
592	102685	70477
593	102807	70269
594	102979	70095
595	103116	69897
596	103293	69727
597	103493	69572
598	103689	69414
599	103843	69229
600	103998	69044
601	104142	68851
602	104322	68682
603	104442	68475
604	104571	68274
605	104723	68087
606	104876	67901
607	105028	67715
608	105168	67522
609	105267	67302
610	105439	67129
611	105629	66967
612	105810	66800
613	105982	66627
614	106174	66466
615	106375	66312
616	106519	66121
617	106655	65926
618	106802	65737
619	106933	65540
620	107066	65343
621	107251	65178
622	107393	64987
623	107562	64813
624	107775	64665
625	108001	64524
626	108185	64359
627	108358	64186
628	108559	64031
629	108745	63866
630	108874	63668
631	109039	63491
632	109218	63322
633	109388	63148
634	109562	62976
635	109718	62794
636	109895	62624
637	110009	62419
638	110144	62225
639	110290	62038
640	110452	61860
641	110624	61687
642	110814	61525
643	111002	61361
644	111182	61193
645	111378	61033
646	111569	60871
647	111753	60705
648	111916	60527
649	112085	60353
650	112269	60187
651	112377	59980
652	112554	59810
653	112729	59639
654	112923	59478
655	113084	59300
656	113275	59137
657	113514	58999
658	113711	58840
659	113904	58677
660	114115	58525
661	114292	58354
662	114459	58179
663	114649	58015
664	114835	57849
665	114979	57662
666	115181	57504
667	115339	57324
668	115524	57158
669	115718	56995
670	115913	56833
671	116064	56650
672	116267	56492
673	116413	56306
674	116570	56126
675	116770	55966
676	116899	55773
677	117060	55594
678	117243	55427
679	117364	55230
680	117483	55032
681	117658	54861
682	117822	54684
683	117988	54509
684	118108	54312
685	118252	54127
686	118398	53943
687	118586	53777
688	118701	53579
689	118886	53412
690	119060	53241
691	119214	53060
692	119401	52894
693	119594	52731
694	119742	52548
695	119947	52390
696	120107	52213
697	120293	52046
698	120493	51886
699	120647	51706
700	120798	51524
701	120915	51328
702	121092	51158
703	121301	51001
704	121482	50833
705	121642	50655
706	121838	50493
707	122014	50322
708	122204	50157
709	122408	49997
710	122587	49828
711	122724	49641
712	122915	49476
713	123087	49303
714	123252	49128
715	123412	48951
716	123582	48778
717	123772	48612
718	123930	48434
719	124100	48261
720	124286	48094
721	124459	47922
722	124608	47740
723	124770	47564
724	124972	47403
725	125130	47225
726	125294	47050
727	125476	46881
728	125648	46708
729	125837	46542
730	125962	46352
731	126157	46188
732	126349	46023
733	126555	45863
734	126718	45687
735	126884	45513
736	127030	45330
737	127200	45157
738	127378	44987
739	127554	44816
740	127749	44651
741	127950	44489
742	128107	44311
743	128290	44142
744	128475	43974
745	128649	43803
746	128764	43611
747	128955	43444
748	129144	43277
749	129342	43114
750	129510	42940
751	129698	42772
752	129918	42616
753	130100	42446
754	130245	42265
755	130454	42104
756	130586	41918
757	130728	41736
758	130937	41575
759	131098	41399
760	131258	41223
761	131431	41050
762	131637	40888
763	131818	40718
764	132004	40550
765	132190	40381
766	132348	40205
767	132495	40024
768	132631	39841
769	132824	39674
770	132943	39486
771	133111	39312
772	133276	39137
773	133378	38945
774	133482	38753
775	133580	38559
776	133733	38381
777	133914	38212
778	134097	38043
779	134260	37868
780	134440	37698
781	134619	37528
782	134819	37363
783	134950	37180
784	135130	37010
785	135304	36838
786	135493	36671
787	135689	36505
788	135877	36337
789	136066	36169
790	136214	35990
791	136389	35819
792	136544	35642
793	136731	35474
794	136899	35301
795	137097	35135
796	137288	34968
797	137418	34785
798	137598	34614
799	137767	34441
800	137938	34269
801	138084	34090
802	138245	33915
803	138428	33746
804	138609	33576
805	138777	33403
806	138896	33218
807	139097	33052
808	139252	32876
809	139418	32703
810	139620	32537
811	139692	32342
812	139851	32167
813	140020	31994
814	140203	31825
815	140408	31660
816	140579	31488
817	140757	31317
818	140935	31146
819	141075	30967
820	141240	30794
821	141429	30625
822	141615	30456
823	141759	30278
824	141991	30119
825	142163	29947
826	142350	29778
827	142469	29595
828	142623	29419
829	142834	29255
830	143023	29086
831	143162	28907
832	143341	28737
833	143517	28565
834	143638	28383
835	143800	28209
836	143962	28035
837	144139	27864
838	144340	27698
839	144495	27522
840	144605	27339
841	144778	27167
842	144944	26994
843	145134	26825
844	145288	26650
845	145457	26478
846	145649	26309
847	145844	26141
848	145974	25962
849	146159	25792
850	146340	25622
851	146479	25444
852	146686	25278
853	146794	25095
854	146979	24926
855	147113	24748
856	147254	24571
857	147452	24403
858	147634	24233
859	147847	24068
860	148033	23898
861	148242	23732
862	148435	23563
863	148600	23390
864	148780	23220
865	148945	23047
866	149091	22871
867	149241	22695
868	149404	22522
869	149535	22344
870	149730	22175
871	149870	21999
872	150082	21833
873	150293	21666
874	150459	21494
875	150673	21328
876	150841	21155
877	151007	20982
878	151138	20805
879	151293	20630
880	151449	20456
881	151611	20283
882	151786	20112
883	151963	19940
884	152152	19771
885	152332	19600
886	152474	19424
887	152624	19249
888	152818	19080
889	152975	18907
890	153160	18736
891	153325	18564
892	153502	18392
893	153615	18213
894	153803	18043
895	154008	17875
896	154163	17702
897	154358	17532
898	154540	17362
899	154756	17195
900	154915	17021
901	155113	16852
902	155293	16681
903	155494	16512
904	155692	16343
905	155880	16173
906	156107	16006
907	156255	15832
908	156432	15660
909	156603	15488
910	156774	15316
911	156941	15143
912	157061	14966
913	157198	14791
914	157360	14618
915	157507	14443
916	157685	14272
917	157845	14099
918	158048	13930
919	158230	13759
920	158414	13588
921	158597	13417
922	158779	13245
923	158941	13073
924	159138	12903
925	159329	12732
926	159528	12562
927	159707	12391
928	159823	12214
929	159906	12035
930	160097	11865
931	160292	11695
932	160474	11523
933	160683	11354
934	160867	11183
935	161054	11012
936	161236	10840
937	161386	10667
938	161614	10498
939	161752	10324
940	161926	10152
941	162130	9982
942	162327	9811
943	162525	9641
944	162719	9470
945	162916	9299
946	163140	9130
947	163326	8958
948	163503	8786
949	163688	8615
950	163882	8444
951	164068	8272
952	164246	8100
953	164389	7926
954	164543	7753
955	164752	7582
956	164929	7410
957	165130	7239
958	165308	7067
959	165506	6896
960	165712	6725
961	165888	6552
962	166039	6379
963	166191	6206
964	166326	6032
965	166517	5860
966	166694	5688
967	166870	5516
968	167079	5345
969	167259	5172
970	167405	4999
971	167515	4825
972	167706	4653
973	167887	4481
974	168072	4309
975	168255	4137
976	168468	3965
977	168688	3794
978	168886	3622
979	169069	3450
980	169235	3277
981	169353	3104
982	169541	2932
983	169715	2759
984	169886	2587
985	170072	2414
986	170256	2242
987	170386	2069
988	170527	1896
989	170720	1724
990	170894	1552
991	171083	1379
992	171207	1206
993	171367	1034
994	171580	862
995	171721	689
996	171904	517
997	172097	344
998	172232	172
999	172348	0
