iter	Passed	Remaining
399	33102	49653
400	33184	49570
401	33258	49474
402	33328	49373
403	33398	49271
404	33478	49184
405	33564	49106
406	33639	49013
407	33717	48923
408	33793	48831
409	33868	48736
410	33948	48650
411	34043	48587
412	34123	48499
413	34198	48407
414	34269	48307
415	34360	48237
416	34463	48182
417	34552	48108
418	34576	47945
419	34658	47861
420	34752	47795
421	34843	47724
422	34913	47624
423	35001	47549
424	35078	47459
425	35165	47382
426	35276	47338
427	35359	47255
428	35466	47205
429	35554	47130
430	35663	47082
431	35782	47047
432	35908	47021
433	36014	46968
434	36111	46903
435	36209	46839
436	36312	46782
437	36393	46696
438	36492	46634
439	36604	46587
440	36703	46523
441	36811	46472
442	36934	46438
443	37058	46406
444	37156	46341
445	37257	46279
446	37348	46204
447	37456	46151
448	37565	46098
449	37681	46055
450	37775	45983
451	37885	45932
452	37997	45882
453	38117	45841
454	38231	45793
455	38341	45740
456	38447	45682
457	38529	45596
458	38641	45544
459	38756	45496
460	38870	45447
461	38985	45398
462	39095	45344
463	39205	45288
464	39318	45236
465	39427	45180
466	39544	45133
467	39661	45085
468	39749	45004
469	39829	44913
470	39940	44859
471	40057	44810
472	40172	44759
473	40257	44673
474	40352	44599
475	40477	44559
476	40595	44509
477	40705	44452
478	40799	44377
479	40888	44295
480	40997	44236
481	41110	44180
482	41220	44122
483	41332	44064
484	41419	43981
485	41529	43921
486	41639	43862
487	41747	43800
488	41861	43745
489	41914	43625
490	42026	43566
491	42130	43500
492	42240	43440
493	42348	43376
494	42458	43315
495	42573	43260
496	42689	43204
497	42801	43144
498	42913	43085
499	43025	43025
500	43140	42967
501	43248	42904
502	43339	42822
503	43438	42749
504	43525	42663
505	43639	42604
506	43751	42543
507	43864	42482
508	43976	42421
509	44084	42355
510	44163	42261
511	44240	42166
512	44320	42073
513	44390	41971
514	44493	41901
515	44572	41808
516	44627	41692
517	44748	41638
518	44790	41511
519	44875	41423
520	44985	41359
521	45098	41297
522	45203	41227
523	45288	41139
524	45363	41043
525	45445	40952
526	45526	40861
527	45605	40768
528	45686	40677
529	45783	40600
530	45881	40524
531	45952	40424
532	46056	40353
533	46147	40270
534	46222	40174
535	46334	40110
536	46439	40040
537	46556	39980
538	46670	39916
539	46792	39859
540	46895	39787
541	46995	39711
542	47108	39647
543	47202	39566
544	47307	39495
545	47422	39431
546	47534	39366
547	47648	39301
548	47757	39232
549	47867	39163
550	47958	39080
551	48062	39006
552	48157	38926
553	48263	38854
554	48376	38787
555	48487	38720
556	48611	38662
557	48643	38530
558	48761	38468
559	48860	38390
560	48975	38324
561	49089	38258
562	49192	38183
563	49303	38114
564	49415	38045
565	49538	37985
566	49637	37906
567	49753	37840
568	49794	37717
569	49902	37646
570	49965	37540
571	50076	37470
572	50152	37373
573	50261	37302
574	50377	37235
575	50459	37143
576	50554	37061
577	50633	36967
578	50752	36902
579	50863	36832
580	50975	36761
581	51089	36693
582	51204	36624
583	51316	36554
584	51426	36481
585	51541	36413
586	51611	36313
587	51723	36241
588	51829	36166
589	51944	36096
590	52058	36027
591	52186	35966
592	52296	35893
593	52410	35822
594	52523	35751
595	52633	35677
596	52738	35600
597	52852	35529
598	52969	35460
599	53079	35386
600	53191	35313
601	53304	35241
602	53410	35164
603	53527	35094
604	53630	35014
605	53744	34942
606	53862	34873
607	53948	34782
608	54001	34670
609	54118	34600
610	54159	34481
611	54274	34409
612	54354	34314
613	54453	34233
614	54535	34140
615	54646	34065
616	54758	33991
617	54873	33918
618	54963	33830
619	55075	33756
620	55185	33679
621	55264	33585
622	55376	33510
623	55471	33425
624	55554	33332
625	55666	33257
626	55746	33163
627	55821	33066
628	55902	32972
629	55986	32880
630	56091	32801
631	56183	32714
632	56293	32637
633	56407	32563
634	56519	32487
635	56608	32398
636	56713	32318
637	56830	32245
638	56955	32176
639	57043	32086
640	57134	31998
641	57261	31930
642	57375	31855
643	57484	31777
644	57600	31702
645	57731	31636
646	57829	31551
647	57933	31469
648	58026	31382
649	58102	31285
650	58198	31200
651	58296	31115
652	58403	31035
653	58483	30940
654	58568	30849
655	58698	30780
656	58803	30699
657	58920	30624
658	59036	30548
659	59150	30471
660	59266	30395
661	59377	30316
662	59468	30227
663	59581	30149
664	59693	30071
665	59805	29992
666	59901	29905
667	60003	29822
668	60101	29736
669	60190	29646
670	60307	29569
671	60414	29487
672	60455	29374
673	60542	29283
674	60649	29201
675	60738	29111
676	60814	29014
677	60893	28919
678	60987	28832
679	61013	28712
680	61040	28592
681	61072	28476
682	61146	28379
683	61253	28298
684	61346	28210
685	61458	28130
686	61532	28034
687	61600	27935
688	61684	27843
689	61766	27750
690	61852	27658
691	61938	27568
692	61996	27464
693	62095	27379
694	62708	27519
695	62973	27505
696	63067	27416
697	63171	27332
698	63259	27240
699	63359	27153
700	63449	27063
701	63525	26966
702	63616	26876
703	63706	26785
704	63784	26689
